Source protein	Target protein	Source gene	Target gene	Supportability	Mean MR	Function
72 KDa type IV collagenase	Adhesion G protein-coupled receptor F5	MMP2	ADGRF5	3	8189.747499999999	adhesion G protein-coupled receptor F5
Interstitial collagenase	Adhesion G protein-coupled receptor F5	MMP1	ADGRF5	3	8178.102499999999	adhesion G protein-coupled receptor F5
Matrix Gla protein	Adhesion G protein-coupled receptor F5	MGP	ADGRF5	3	3479.9225	adhesion G protein-coupled receptor F5
Lumican	Adhesion G protein-coupled receptor F5	LUM	ADGRF5	3	5933.677500000001	adhesion G protein-coupled receptor F5
Endothelial lipase	Adhesion G protein-coupled receptor F5	LIPG	ADGRF5	3	8331.32	adhesion G protein-coupled receptor F5
Lipopolysaccharide-binding protein	Adhesion G protein-coupled receptor F5	LBP	ADGRF5	3	7800.9	adhesion G protein-coupled receptor F5
Insulin-like growth factor-binding protein 3	Adhesion G protein-coupled receptor F5	IGFBP3	ADGRF5	3	8084.095	adhesion G protein-coupled receptor F5
Insulin-like growth factor-binding protein 1	Adhesion G protein-coupled receptor F5	IGFBP1	ADGRF5	3	8269.0475	adhesion G protein-coupled receptor F5
Insulin-like growth factor I	Adhesion G protein-coupled receptor F5	IGF1	ADGRF5	3	6888.2875	adhesion G protein-coupled receptor F5
Hyaluronan-binding protein 2	Adhesion G protein-coupled receptor F5	HABP2	ADGRF5	3	7737.4225	adhesion G protein-coupled receptor F5
Glutathione peroxidase 3	Adhesion G protein-coupled receptor F5	GPX3	ADGRF5	3	5517.860000000001	adhesion G protein-coupled receptor F5
Follistatin-related protein 1	Adhesion G protein-coupled receptor F5	FSTL1	ADGRF5	3	6089.845	adhesion G protein-coupled receptor F5
Fibronectin	Adhesion G protein-coupled receptor F5	FN1	ADGRF5	3	6782.6525	adhesion G protein-coupled receptor F5
Ficolin-3	Adhesion G protein-coupled receptor F5	FCN3	ADGRF5	3	1525.7375	adhesion G protein-coupled receptor F5
Coagulation factor VIII	Adhesion G protein-coupled receptor F5	F8	ADGRF5	3	5849.345	adhesion G protein-coupled receptor F5
Elastin	Adhesion G protein-coupled receptor F5	ELN	ADGRF5	3	6834.1875	adhesion G protein-coupled receptor F5
Epidermal growth factor receptor	Adhesion G protein-coupled receptor F5	EGFR	ADGRF5	3	7596.047500000001	adhesion G protein-coupled receptor F5
Dickkopf-related protein 2	Adhesion G protein-coupled receptor F5	DKK2	ADGRF5	3	5449.425	adhesion G protein-coupled receptor F5
N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	Adhesion G protein-coupled receptor F5	DDAH1	ADGRF5	3	6444.65	adhesion G protein-coupled receptor F5
Cartilage acidic protein 1	Adhesion G protein-coupled receptor F5	CRTAC1	ADGRF5	3	6026.295	adhesion G protein-coupled receptor F5
Collagen alpha-1(I) chain	Adhesion G protein-coupled receptor F5	COL1A1	ADGRF5	3	7167.182499999999	adhesion G protein-coupled receptor F5
Collagen alpha-1(XVIII) chain	Adhesion G protein-coupled receptor F5	COL18A1	ADGRF5	3	7361.934999999999	adhesion G protein-coupled receptor F5
Collagen alpha-1(III) chain	Adhesion G protein-coupled receptor F5	COL3A1	ADGRF5	3	4035.0825	adhesion G protein-coupled receptor F5
Calponin-1	Adhesion G protein-coupled receptor F5	CNN1	ADGRF5	3	7427.85	adhesion G protein-coupled receptor F5
Claudin-5	Adhesion G protein-coupled receptor F5	CLDN5	ADGRF5	3	2140.58	adhesion G protein-coupled receptor F5
Tetranectin	Adhesion G protein-coupled receptor F5	CLEC3B	ADGRF5	3	5045.5975	adhesion G protein-coupled receptor F5
Complement factor H	Adhesion G protein-coupled receptor F5	CFH	ADGRF5	3	6654.19	adhesion G protein-coupled receptor F5
Ceruloplasmin	Adhesion G protein-coupled receptor F5	CP	ADGRF5	3	8307.9125	adhesion G protein-coupled receptor F5
Cadherin-5	Adhesion G protein-coupled receptor F5	CDH5	ADGRF5	3	211.3925	adhesion G protein-coupled receptor F5
Cadherin-13	Adhesion G protein-coupled receptor F5	CDH13	ADGRF5	3	3396.8700000000003	adhesion G protein-coupled receptor F5
CD5 antigen-like	Adhesion G protein-coupled receptor F5	CD5L	ADGRF5	3	7412.407499999999	adhesion G protein-coupled receptor F5
Complement component C7	Adhesion G protein-coupled receptor F5	C7	ADGRF5	3	3198.6875	adhesion G protein-coupled receptor F5
Complement component C6	Adhesion G protein-coupled receptor F5	C6	ADGRF5	3	5743.0225	adhesion G protein-coupled receptor F5
Complement factor I	Adhesion G protein-coupled receptor F5	CFI	ADGRF5	3	4861.0225	adhesion G protein-coupled receptor F5
Complement C1q subcomponent subunit C	Adhesion G protein-coupled receptor F5	C1QC	ADGRF5	3	7251.425	adhesion G protein-coupled receptor F5
Complement C1q subcomponent subunit B	Adhesion G protein-coupled receptor F5	C1QB	ADGRF5	3	7422.6	adhesion G protein-coupled receptor F5
Complement C1q subcomponent subunit A	Adhesion G protein-coupled receptor F5	C1QA	ADGRF5	3	7420.8375	adhesion G protein-coupled receptor F5
Collagen alpha-2(I) chain	Adhesion G protein-coupled receptor F5	COL1A2	ADGRF5	3	4596.32	adhesion G protein-coupled receptor F5
Cholesteryl ester transfer protein	Adhesion G protein-coupled receptor F5	CETP	ADGRF5	3	4364.13	adhesion G protein-coupled receptor F5
Apolipoprotein D	Adhesion G protein-coupled receptor F5	APOD	ADGRF5	3	5074.6525	adhesion G protein-coupled receptor F5
Angiotensinogen	Adhesion G protein-coupled receptor F5	AGT	ADGRF5	3	6676.5425	adhesion G protein-coupled receptor F5
Adiponectin	Adhesion G protein-coupled receptor F5	ADIPOQ	ADGRF5	3	6283.4525	adhesion G protein-coupled receptor F5
A disintegrin and metalloproteinase with thrombospondin motifs 9	Adhesion G protein-coupled receptor F5	ADAMTS9	ADGRF5	3	2046.27	adhesion G protein-coupled receptor F5
A disintegrin and metalloproteinase with thrombospondin motifs 2	Adhesion G protein-coupled receptor F5	ADAMTS2	ADGRF5	3	6877.8475	adhesion G protein-coupled receptor F5
Actin, aortic smooth muscle	Adhesion G protein-coupled receptor F5	ACTA2	ADGRF5	3	5141.3575	adhesion G protein-coupled receptor F5
Target of Nesh-SH3	Adhesion G protein-coupled receptor F5	ABI3BP	ADGRF5	3	6897.9375	adhesion G protein-coupled receptor F5
Alpha-2-macroglobulin	Adhesion G protein-coupled receptor F5	A2M	ADGRF5	3	1798.1325000000002	adhesion G protein-coupled receptor F5
von Willebrand factor	Alpha-2-macroglobulin	VWF	A2M	2	2214.805	alpha-2-macroglobulin
Vitronectin	Alpha-2-macroglobulin	VTN	A2M	2	5614.6775	alpha-2-macroglobulin
Vascular endothelial growth factor D	Alpha-2-macroglobulin	VEGFD	A2M	2	7984.8675	alpha-2-macroglobulin
Vascular cell adhesion protein 1	Alpha-2-macroglobulin	VCAM1	A2M	2	2099.1775	alpha-2-macroglobulin
Vasorin	Alpha-2-macroglobulin	VASN	A2M	2	6937.15	alpha-2-macroglobulin
Transthyretin	Alpha-2-macroglobulin	TTR	A2M	2	6777.805	alpha-2-macroglobulin
Metalloproteinase inhibitor 4	Alpha-2-macroglobulin	TIMP4	A2M	2	7750.157499999999	alpha-2-macroglobulin
Thrombospondin-4	Alpha-2-macroglobulin	THBS4	A2M	2	7952.262500000001	alpha-2-macroglobulin
Thrombospondin-1	Alpha-2-macroglobulin	THBS1	A2M	2	7897.5925	alpha-2-macroglobulin
Tissue_factor_pathway_inhibitor	Alpha-2-macroglobulin	TFPI	A2M	2	6466.0475	alpha-2-macroglobulin
Osteopontin	Alpha-2-macroglobulin	SPP1	A2M	2	7826.182499999999	alpha-2-macroglobulin
SPARC	Alpha-2-macroglobulin	SPARC	A2M	2	4324.5675	alpha-2-macroglobulin
Plasma protease C1 inhibitor	Alpha-2-macroglobulin	SERPING1	A2M	2	3539.4475	alpha-2-macroglobulin
Pigment epithelium-derived factor	Alpha-2-macroglobulin	SERPINF1	A2M	2	4087.8375	alpha-2-macroglobulin
Heparin cofactor 2	Alpha-2-macroglobulin	SERPIND1	A2M	2	6945.9375	alpha-2-macroglobulin
Thyroxine-binding globulin	Alpha-2-macroglobulin	SERPINA7	A2M	2	7530.6075	alpha-2-macroglobulin
Plasma serine protease inhibitor	Alpha-2-macroglobulin	SERPINA5	A2M	2	6416.25	alpha-2-macroglobulin
Alpha-1-antichymotrypsin	Alpha-2-macroglobulin	SERPINA3	A2M	2	4125.5475	alpha-2-macroglobulin
Alpha-1-antitrypsin	Alpha-2-macroglobulin	SERPINA1	A2M	2	8252.875	alpha-2-macroglobulin
P-selectin	Alpha-2-macroglobulin	SELP	A2M	2	7180.1425	alpha-2-macroglobulin
Serum amyloid A-4 protein	Alpha-2-macroglobulin	SAA4	A2M	2	8110.139999999999	alpha-2-macroglobulin
Serum amyloid A-1	Alpha-2-macroglobulin	SAA1	A2M	2	9733.6	alpha-2-macroglobulin
Protein S100-B	Alpha-2-macroglobulin	S100B	A2M	2	5354.56	alpha-2-macroglobulin
Retinol-binding protein 4	Alpha-2-macroglobulin	RBP4	A2M	2	6465.834999999999	alpha-2-macroglobulin
Pregnancy zone protein	Alpha-2-macroglobulin	PZP	A2M	2	812.6724999999999	alpha-2-macroglobulin
Vitamin K-dependent protein S	Alpha-2-macroglobulin	PROS1	A2M	2	4086.865	alpha-2-macroglobulin
Proteoglycan 4	Alpha-2-macroglobulin	PRG4	A2M	2	5997.625	alpha-2-macroglobulin
Serum paraoxonase/lactonase 3	Alpha-2-macroglobulin	PON3	A2M	2	8319.0425	alpha-2-macroglobulin
Phospholipid transfer protein	Alpha-2-macroglobulin	PLTP	A2M	2	6216.8150000000005	alpha-2-macroglobulin
Plasminogen	Alpha-2-macroglobulin	PLG	A2M	2	8008.9725	alpha-2-macroglobulin
Platelet-activating factor acetylhydrolase	Alpha-2-macroglobulin	PLA2G7	A2M	2	6101.3675	alpha-2-macroglobulin
Platelet endothelial cell adhesion molecule	Alpha-2-macroglobulin	PECAM1	A2M	2	3812.865	alpha-2-macroglobulin
Pappalysin-1	Alpha-2-macroglobulin	PAPPA	A2M	2	7861.9925	alpha-2-macroglobulin
Alpha-1-acid glycoprotein 1	Alpha-2-macroglobulin	ORM1	A2M	2	8782.225	alpha-2-macroglobulin
Oxidized low-density lipoprotein receptor 1	Alpha-2-macroglobulin	OLR1	A2M	2	8101.402499999999	alpha-2-macroglobulin
Neuropilin-2	Alpha-2-macroglobulin	NRP2	A2M	2	6045.054999999999	alpha-2-macroglobulin
Atrial natriuretic peptide receptor 1	Alpha-2-macroglobulin	NPR1	A2M	2	4188.265	alpha-2-macroglobulin
72 KDa type IV collagenase	Alpha-2-macroglobulin	MMP2	A2M	2	5890.1225	alpha-2-macroglobulin
Matrix Gla protein	Alpha-2-macroglobulin	MGP	A2M	2	1731.6025	alpha-2-macroglobulin
Mannan-binding lectin serine protease 1	Alpha-2-macroglobulin	MASP1	A2M	2	6226.255	alpha-2-macroglobulin
Lumican	Alpha-2-macroglobulin	LUM	A2M	2	3401.8250000000003	alpha-2-macroglobulin
Galectin-3-binding protein	Alpha-2-macroglobulin	LGALS3BP	A2M	2	8135.84	alpha-2-macroglobulin
Lipopolysaccharide-binding protein	Alpha-2-macroglobulin	LBP	A2M	2	6348.8325	alpha-2-macroglobulin
Inter-alpha-trypsin inhibitor heavy chain H2	Alpha-2-macroglobulin	ITIH2	A2M	2	5757.507500000001	alpha-2-macroglobulin
Immunoglobulin kappa variable 4-1	Alpha-2-macroglobulin	IGKV4-1	A2M	2	8818.813333333334	alpha-2-macroglobulin
Ig mu chain C region	Alpha-2-macroglobulin	IGHM	A2M	2	8727.673333333334	alpha-2-macroglobulin
Insulin-like growth factor-binding protein 3	Alpha-2-macroglobulin	IGFBP3	A2M	2	5776.087500000001	alpha-2-macroglobulin
Insulin-like growth factor-binding protein 2	Alpha-2-macroglobulin	IGFBP2	A2M	2	7544.4025	alpha-2-macroglobulin
Insulin-like growth factor I	Alpha-2-macroglobulin	IGF1	A2M	2	2527.94	alpha-2-macroglobulin
Haptoglobin	Alpha-2-macroglobulin	HP	A2M	2	8068.9875	alpha-2-macroglobulin
Gelsolin	Alpha-2-macroglobulin	GSN	A2M	2	5729.2025	alpha-2-macroglobulin
Glutathione peroxidase 3	Alpha-2-macroglobulin	GPX3	A2M	2	4531.5225	alpha-2-macroglobulin
Follistatin-related protein 1	Alpha-2-macroglobulin	FSTL1	A2M	2	7883.212500000001	alpha-2-macroglobulin
Fibronectin	Alpha-2-macroglobulin	FN1	A2M	2	3709.815	alpha-2-macroglobulin
Fibrinogen gamma chain	Alpha-2-macroglobulin	FGG	A2M	2	8365.907500000001	alpha-2-macroglobulin
Ficolin-3	Alpha-2-macroglobulin	FCN3	A2M	2	4929.782499999999	alpha-2-macroglobulin
IgGFc-binding protein	Alpha-2-macroglobulin	FCGBP	A2M	2	8160.655	alpha-2-macroglobulin
Fibulin-1	Alpha-2-macroglobulin	FBLN1	A2M	2	5871.5425	alpha-2-macroglobulin
Fatty acid-binding protein heart	Alpha-2-macroglobulin	FABP3	A2M	2	4428.8325	alpha-2-macroglobulin
Coagulation factor VII	Alpha-2-macroglobulin	F7	A2M	2	7919.1925	alpha-2-macroglobulin
Elastin	Alpha-2-macroglobulin	ELN	A2M	2	5556.91	alpha-2-macroglobulin
Extracellular matrix protein 1	Alpha-2-macroglobulin	ECM1	A2M	2	6292.6825	alpha-2-macroglobulin
Dickkopf-related protein 2	Alpha-2-macroglobulin	DKK2	A2M	2	7221.8175	alpha-2-macroglobulin
Carboxypeptidase B2	Alpha-2-macroglobulin	CPB2	A2M	2	8001.18	alpha-2-macroglobulin
Collagen alpha-1(I) chain	Alpha-2-macroglobulin	COL1A1	A2M	2	7041.35	alpha-2-macroglobulin
Collagen alpha-1(XVIII) chain	Alpha-2-macroglobulin	COL18A1	A2M	2	6532.4775	alpha-2-macroglobulin
Collagen alpha-1(III) chain	Alpha-2-macroglobulin	COL3A1	A2M	2	3590.1375000000003	alpha-2-macroglobulin
Calponin-1	Alpha-2-macroglobulin	CNN1	A2M	2	5707.9725	alpha-2-macroglobulin
Claudin-5	Alpha-2-macroglobulin	CLDN5	A2M	2	5585.860000000001	alpha-2-macroglobulin
Tetranectin	Alpha-2-macroglobulin	CLEC3B	A2M	2	5506.805	alpha-2-macroglobulin
Complement factor H	Alpha-2-macroglobulin	CFH	A2M	2	4245.165	alpha-2-macroglobulin
Ceruloplasmin	Alpha-2-macroglobulin	CP	A2M	2	3111.505	alpha-2-macroglobulin
Cadherin-5	Alpha-2-macroglobulin	CDH5	A2M	2	2072.1	alpha-2-macroglobulin
CD5 antigen-like	Alpha-2-macroglobulin	CD5L	A2M	2	5097.3175	alpha-2-macroglobulin
Carbonic anhydrase 1	Alpha-2-macroglobulin	CA1	A2M	2	9547.8675	alpha-2-macroglobulin
Complement component C7	Alpha-2-macroglobulin	C7	A2M	2	2764.2925	alpha-2-macroglobulin
Complement component C6	Alpha-2-macroglobulin	C6	A2M	2	5900.91	alpha-2-macroglobulin
Complement C5	Alpha-2-macroglobulin	C5	A2M	2	7426.110000000001	alpha-2-macroglobulin
Complement C3	Alpha-2-macroglobulin	C3	A2M	2	4159.764999999999	alpha-2-macroglobulin
C4b-binding protein alpha chain	Alpha-2-macroglobulin	C4BPA	A2M	2	7662.79	alpha-2-macroglobulin
Complement factor I	Alpha-2-macroglobulin	CFI	A2M	2	3140.0075	alpha-2-macroglobulin
Complement C2	Alpha-2-macroglobulin	C2	A2M	2	5227.115	alpha-2-macroglobulin
Complement C1s subcomponent	Alpha-2-macroglobulin	C1S	A2M	2	3004.2975	alpha-2-macroglobulin
Complement C1q subcomponent subunit C	Alpha-2-macroglobulin	C1QC	A2M	2	2391.34	alpha-2-macroglobulin
Complement C1q subcomponent subunit B	Alpha-2-macroglobulin	C1QB	A2M	2	2801.795	alpha-2-macroglobulin
Complement C1q subcomponent subunit A	Alpha-2-macroglobulin	C1QA	A2M	2	3057.9350000000004	alpha-2-macroglobulin
Collagen alpha-2(I) chain	Alpha-2-macroglobulin	COL1A2	A2M	2	4581.8675	alpha-2-macroglobulin
Cholesteryl ester transfer protein	Alpha-2-macroglobulin	CETP	A2M	2	4769.4075	alpha-2-macroglobulin
Zinc-alpha-2-glycoprotein	Alpha-2-macroglobulin	AZGP1	A2M	2	7984.7825	alpha-2-macroglobulin
Attractin	Alpha-2-macroglobulin	ATRN	A2M	2	7350.425	alpha-2-macroglobulin
Beta-2-glycoprotein 1	Alpha-2-macroglobulin	APOH	A2M	2	7560.335	alpha-2-macroglobulin
Apolipoprotein E	Alpha-2-macroglobulin	APOE	A2M	2	2680.655	alpha-2-macroglobulin
Apolipoprotein D	Alpha-2-macroglobulin	APOD	A2M	2	4531.7775	alpha-2-macroglobulin
Apolipoprotein C-II	Alpha-2-macroglobulin	APOC2	A2M	2	4136.383333333333	alpha-2-macroglobulin
Apolipoprotein C-I	Alpha-2-macroglobulin	APOC1	A2M	2	3066.4100000000003	alpha-2-macroglobulin
Apolipoprotein B-100	Alpha-2-macroglobulin	APOB	A2M	2	6729.985000000001	alpha-2-macroglobulin
Apolipoprotein A-II	Alpha-2-macroglobulin	APOA2	A2M	2	8200.2025	alpha-2-macroglobulin
Apolipoprotein A-I	Alpha-2-macroglobulin	APOA1	A2M	2	8090.355	alpha-2-macroglobulin
Angiogenin	Alpha-2-macroglobulin	ANG	A2M	2	8151.139999999999	alpha-2-macroglobulin
Serum albumin	Alpha-2-macroglobulin	ALB	A2M	2	8137.892499999999	alpha-2-macroglobulin
Angiotensinogen	Alpha-2-macroglobulin	AGT	A2M	2	3345.55	alpha-2-macroglobulin
Adhesion G protein-coupled receptor F5	Alpha-2-macroglobulin	ADGRF5	A2M	2	1798.1325000000002	alpha-2-macroglobulin
A disintegrin and metalloproteinase with thrombospondin motifs 9	Alpha-2-macroglobulin	ADAMTS9	A2M	2	5492.532499999999	alpha-2-macroglobulin
Actin, aortic smooth muscle	Alpha-2-macroglobulin	ACTA2	A2M	2	2985.0575	alpha-2-macroglobulin
Target of Nesh-SH3	Alpha-2-macroglobulin	ABI3BP	A2M	2	7278.615	alpha-2-macroglobulin
von Willebrand factor	Atrial natriuretic peptide receptor 1	VWF	NPR1	3	2542.8075	natriuretic peptide receptor 1
Vitronectin	Atrial natriuretic peptide receptor 1	VTN	NPR1	3	7404.6125	natriuretic peptide receptor 1
Vascular endothelial growth factor D	Atrial natriuretic peptide receptor 1	VEGFD	NPR1	3	4747.1775	natriuretic peptide receptor 1
Vasorin	Atrial natriuretic peptide receptor 1	VASN	NPR1	3	6272.145	natriuretic peptide receptor 1
Tumor necrosis factor receptor superfamily member 1B	Atrial natriuretic peptide receptor 1	TNFRSF1B	NPR1	3	6283.682500000001	natriuretic peptide receptor 1
Metalloproteinase inhibitor 4	Atrial natriuretic peptide receptor 1	TIMP4	NPR1	3	3965.9625	natriuretic peptide receptor 1
Thrombospondin-4	Atrial natriuretic peptide receptor 1	THBS4	NPR1	3	6293.025	natriuretic peptide receptor 1
Thrombomodulin	Atrial natriuretic peptide receptor 1	THBD	NPR1	3	7412.59	natriuretic peptide receptor 1
Plasma protease C1 inhibitor	Atrial natriuretic peptide receptor 1	SERPING1	NPR1	3	6078.0125	natriuretic peptide receptor 1
Plasma serine protease inhibitor	Atrial natriuretic peptide receptor 1	SERPINA5	NPR1	3	6222.56	natriuretic peptide receptor 1
P-selectin	Atrial natriuretic peptide receptor 1	SELP	NPR1	3	7482.6575	natriuretic peptide receptor 1
Retinol-binding protein 4	Atrial natriuretic peptide receptor 1	RBP4	NPR1	3	5318.51	natriuretic peptide receptor 1
Vitamin K-dependent protein S	Atrial natriuretic peptide receptor 1	PROS1	NPR1	3	7436.15	natriuretic peptide receptor 1
Endothelial protein C receptor	Atrial natriuretic peptide receptor 1	PROCR	NPR1	3	5554.8025	natriuretic peptide receptor 1
Proteoglycan 4	Atrial natriuretic peptide receptor 1	PRG4	NPR1	3	7131.814999999999	natriuretic peptide receptor 1
Phospholipid transfer protein	Atrial natriuretic peptide receptor 1	PLTP	NPR1	3	7454.135	natriuretic peptide receptor 1
Platelet endothelial cell adhesion molecule	Atrial natriuretic peptide receptor 1	PECAM1	NPR1	3	4619.055	natriuretic peptide receptor 1
Neuropilin-2	Atrial natriuretic peptide receptor 1	NRP2	NPR1	3	6912.6375	natriuretic peptide receptor 1
Beta-nerve growth factor	Atrial natriuretic peptide receptor 1	NGF	NPR1	3	7646.505	natriuretic peptide receptor 1
Mucin-16	Atrial natriuretic peptide receptor 1	MUC16	NPR1	3	8223.075	natriuretic peptide receptor 1
Matrix Gla protein	Atrial natriuretic peptide receptor 1	MGP	NPR1	3	7555.4475	natriuretic peptide receptor 1
Mannan-binding lectin serine protease 1	Atrial natriuretic peptide receptor 1	MASP1	NPR1	3	6329.920000000001	natriuretic peptide receptor 1
Lipopolysaccharide-binding protein	Atrial natriuretic peptide receptor 1	LBP	NPR1	3	6522.222500000001	natriuretic peptide receptor 1
Inter-alpha-trypsin inhibitor heavy chain H1	Atrial natriuretic peptide receptor 1	ITIH1	NPR1	3	8014.6875	natriuretic peptide receptor 1
Insulin-like growth factor I	Atrial natriuretic peptide receptor 1	IGF1	NPR1	3	6571.0225	natriuretic peptide receptor 1
Haptoglobin	Atrial natriuretic peptide receptor 1	HP	NPR1	3	7398.0425	natriuretic peptide receptor 1
Hemoglobin subunit alpha	Atrial natriuretic peptide receptor 1	HBA1	NPR1	3	8060.946666666667	natriuretic peptide receptor 1
Glutathione peroxidase 3	Atrial natriuretic peptide receptor 1	GPX3	NPR1	3	3966.285	natriuretic peptide receptor 1
Follistatin-related protein 1	Atrial natriuretic peptide receptor 1	FSTL1	NPR1	3	8165.8025	natriuretic peptide receptor 1
Ficolin-3	Atrial natriuretic peptide receptor 1	FCN3	NPR1	3	3092.73	natriuretic peptide receptor 1
Fibulin-1	Atrial natriuretic peptide receptor 1	FBLN1	NPR1	3	6148.1325	natriuretic peptide receptor 1
Fatty acid-binding protein heart	Atrial natriuretic peptide receptor 1	FABP3	NPR1	3	5874.885	natriuretic peptide receptor 1
Clusterin	Atrial natriuretic peptide receptor 1	CLU	NPR1	3	8147.1175	natriuretic peptide receptor 1
Coagulation factor VII	Atrial natriuretic peptide receptor 1	F7	NPR1	3	8187.492499999999	natriuretic peptide receptor 1
